cid,time,compile,vmlinux,GZIP-bzImage,GZIP-vmlinux,GZIP,BZIP2-bzImage,BZIP2-vmlinux,BZIP2,LZMA-bzImage,LZMA-vmlinux,LZMA,XZ-bzImage,XZ-vmlinux,XZ,LZO-bzImage,LZO-vmlinux,LZO,LZ4-bzImage,LZ4-vmlinux,LZ4
55174,373.72,True,36320640,8213456,10298488,8068125,11908048,13992528,7643259,6599632,8684144,6463040,5206992,7291936,5063420,9049040,11133464,8914635,9692112,11776856,9545292
55173,239.51,True,60103216,5706704,7792080,5558356,9475024,11559848,5210355,4584400,6669264,4447918,3961808,6047096,3813808,6235088,8319864,6099692,6661072,8746160,6512724
55172,235.664,True,19104824,4514768,6600144,4367855,8496080,10580904,4230489,3761104,5845968,3625202,3589072,5674360,3441536,4891600,6976376,4754757,5198800,7283888,5050507
55171,279.235,True,238891720,13299984,15389960,13079406,17658128,19747544,13316737,10408208,12497664,10195126,10076432,12166312,9856628,15343888,17433256,15134333,16822544,18912224,16600729
55170,263.26,True,47931032,11060784,13148760,10840818,15193648,17281072,10853349,8955440,11042896,8743732,8484400,10572288,8265780,12514864,14602232,12307433,13542960,15630648,13322835
55169,160.889,True,33120056,6702544,8787064,6554449,10540496,12624464,6277289,5367248,7451248,5230322,4404688,6489120,4258792,7402960,9486872,7269259,7935440,10019672,7786502
55168,353.077,False,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
55167,285.649,True,131483312,8187856,10274264,8039507,11681744,13767592,7417351,6258640,8344528,6124490,5222352,7308664,5075580,9113552,11199352,8980617,9871312,11957424,9725207
55166,414.246,True,24006928,5689296,7775704,5542290,9629648,11715496,5363573,4661200,6747088,4525822,4333520,6419832,4189324,6209488,8295288,6073822,6598608,8684720,6451200
55165,249.683,True,31870496,5612496,7699320,5399674,9765840,11852112,5437568,4613072,6699376,4412177,3875792,5962520,3664220,6276048,8362264,6076285,6792144,8878680,6579269
55164,250.902,True,28224320,7569872,9655416,7423561,11317712,13402704,7053916,6128080,8213104,5992443,4841936,6927392,4698084,8278480,10363416,8144714,8851920,10937176,8705925
55163,394.691,True,185226560,5899216,7984592,5752929,9864144,11948968,5596594,4871120,6955984,4735476,4010960,6096248,3865132,6460368,8545144,6324456,6894544,8979632,6745896
55162,360.357,True,30530632,6579664,8664536,6432727,10487248,12571560,6219312,5367248,7451600,5227270,5039568,7124344,4890832,7271888,9356152,7134525,7751120,9835696,7604234
55161,247.059,True,53280664,5763024,7849432,5616447,9572304,11658152,5306022,4591568,6677456,4453956,3928016,6014328,3783592,6348752,8434552,6215343,6807504,8893616,6659144
55160,629.864,True,51967464,15819728,17904760,15674790,19022800,21107280,14758499,12682192,14766704,12547908,10318800,12403744,10174384,17306576,19391000,17174346,18469840,20554584,18322253
55159,273.416,True,21125432,4240848,6325368,4095011,8226256,10310224,3960806,3462608,5546608,3325970,3294672,5379104,3152084,4650448,6734360,4518834,4949456,7033688,4803965
55158,356.251,True,39887600,12333008,14419408,12187751,16068560,18154408,11804556,10043344,12129232,9907617,9342928,11429240,9198608,13475792,15561592,13342411,14364624,16450736,14218135
55157,345.803,True,26208008,5908016,7994592,5742432,9909808,11995832,5624780,4793904,6879968,4639805,4507184,6593672,4343916,6518320,8604296,6364292,6972976,9059264,6807932
55156,270.105,True,35047704,8139728,10224760,7992781,11989968,14074448,7725103,6558672,8643184,6425023,6226896,8311840,6083024,8979408,11063832,8844729,9573328,11658072,9425749
55155,392.629,True,75775384,8713680,10798200,8567278,12416464,14500432,8152637,7013840,9097840,6877145,5539280,7623712,5394744,9545168,11629080,9411366,10249680,12333912,10104172
55154,418.173,True,939429048,11970096,14057904,11752372,16274992,18362256,11935939,9516592,11603888,9306259,8988208,11075936,8768844,13612592,15699800,13406609,14759472,16847000,14539027
55153,497.788,True,76818152,12885968,14973768,12684274,16928720,19015968,12609645,10137552,12224832,9946562,7716816,9804528,7518156,14675920,16763112,14485935,16015312,18102824,15815830
55152,293.148,True,19204672,5141968,7226832,4991915,9115088,11199400,4847585,4244944,6329296,4105386,4031952,6116728,3886008,5637584,7721848,5499451,6018512,8103088,5869763
55151,275.599,True,71819800,10461648,12547536,10312829,14172624,16257960,9905881,8663504,10748880,8524760,7086544,9172344,6938960,11350480,13435768,11217131,12063184,14148784,11917024
55150,322.635,True,135311552,16278480,18365136,16068707,21169104,23255208,16840186,11367376,13453520,11168435,10220496,12307064,10009536,21259216,23345272,21060493,24417232,26503600,24208186
55149,834.318,True,108634368,23048144,25134552,22902819,24743888,26829736,20478124,17362896,19448784,17226828,15896528,17982840,15750668,25710544,27796344,25574739,27746256,29832368,27598682
55148,257.881,True,29741376,6836176,8923976,6633315,10842064,12929312,6524859,5578704,7665984,5388011,5238736,7326448,5041088,7643088,9730280,7454234,8232912,10320424,8029932
